[2019-03-26 17:43:26] 	 DEBUG: daemon start...
[2019-03-26 17:43:26] 	 DEBUG: reset sleep
[2019-03-26 17:43:26] 	 DEBUG: mq_consume: 3 msgs
[2019-03-26 17:43:26] 	 DEBUG: msg: {"message_id":"BEF6FD6A208E7FF46B7A832C69A6042F","message_body_md5":"7CE65AEFD11BC82C5957A9255527E060","message_body":"{\"id\":63,\"ac\":\"QC\"}","body":"{\"id\":63,\"ac\":\"QC\"}","receipt_handle":"8-2zu9ruKHpz4Vz2zl0z0z8NZzaRghoPd0tLy","next_visible_time":"1553593714708","enqueue_time":"1553570325926","first_dequeue_time":"1553593414708","dequeue_count":"1","priority":"8"}
[2019-03-26 17:43:26] 	 DEBUG: msg: {"message_id":"BEF6FD6A208E7FF47F8D84818D63B4F4","message_body_md5":"B767A7DD8BC88CBE4EB31E03A6103491","message_body":"{\"id\":65,\"ac\":\"QC\"}","body":"{\"id\":65,\"ac\":\"QC\"}","receipt_handle":"8-2zu9ruKHpz4Vz2zl0z1z8NZzcSXEAyFBQ73","next_visible_time":"1553593714708","enqueue_time":"1553592682852","first_dequeue_time":"1553593414708","dequeue_count":"1","priority":"8"}
[2019-03-26 17:43:26] 	 DEBUG: msg: {"message_id":"BEF6FD6A208E7FF47FB88481E0812AC5","message_body_md5":"B767A7DD8BC88CBE4EB31E03A6103491","message_body":"{\"id\":65,\"ac\":\"QC\"}","body":"{\"id\":65,\"ac\":\"QC\"}","receipt_handle":"8-2zu9ruKHpz4Vz2zl0z2z8NZzcTZMOBn3sO8","next_visible_time":"1553593714708","enqueue_time":"1553592704129","first_dequeue_time":"1553593414708","dequeue_count":"1","priority":"8"}
[2019-03-26 17:43:26] 	 DEBUG: reset sleep
[2019-03-26 17:43:26] 	 DEBUG: mq_consume: 1 msgs
[2019-03-26 17:43:26] 	 DEBUG: msg: {"message_id":"BEF6FD6A208E7FF47FC184835C5F2124","message_body_md5":"B767A7DD8BC88CBE4EB31E03A6103491","message_body":"{\"id\":65,\"ac\":\"QC\"}","body":"{\"id\":65,\"ac\":\"QC\"}","receipt_handle":"8-3zu9ruKQyz4Vzczl1z0z8NZzcUcZT4d9nD4","next_visible_time":"1553593715266","enqueue_time":"1553592801375","first_dequeue_time":"1553593415266","dequeue_count":"1","priority":"8"}
[2019-03-26 17:43:27] 	 DEBUG: reset sleep
[2019-03-26 17:43:27] 	 DEBUG: mq_consume: 2 msgs
[2019-03-26 17:43:27] 	 DEBUG: msg: {"message_id":"BEF6FD6A208E7FF47F84847AD42B0117","message_body_md5":"79B45A80A6F5BCC018B84796D04D12CC","message_body":"{\"id\":64,\"ac\":\"QC\"}","body":"{\"id\":64,\"ac\":\"QC\"}","receipt_handle":"8-0zu9ruL70z4Vz0zl2z0z8NZzcSKquFbacIK","next_visible_time":"1553593716269","enqueue_time":"1553592242219","first_dequeue_time":"1553593416269","dequeue_count":"1","priority":"8"}
[2019-03-26 17:43:27] 	 DEBUG: msg: {"message_id":"BEF6FD6A208E7FF4511E847FA33DC73A","message_body_md5":"B767A7DD8BC88CBE4EB31E03A6103491","message_body":"{\"id\":65,\"ac\":\"QC\"}","body":"{\"id\":65,\"ac\":\"QC\"}","receipt_handle":"8-0zu9ruL70z4Vz0zl2z1z8NZz8bQvw3IQSRQ","next_visible_time":"1553593716269","enqueue_time":"1553592557373","first_dequeue_time":"1553593416269","dequeue_count":"1","priority":"8"}
[2019-03-26 17:43:33] 	 DEBUG: sleep 2s
[2019-03-26 17:43:40] 	 DEBUG: sleep 4s
[2019-03-26 17:43:50] 	 DEBUG: sleep 8s
[2019-03-26 17:44:03] 	 DEBUG: sleep 16s
[2019-03-26 17:44:24] 	 DEBUG: sleep 32s
[2019-03-26 17:45:02] 	 DEBUG: sleep 64s
[2019-03-26 17:46:11] 	 DEBUG: sleep 128s
[2019-03-26 17:48:20] 	 DEBUG: reset sleep
[2019-03-26 17:48:20] 	 DEBUG: reconnect db
[2019-03-26 17:48:20] 	 DEBUG: mq_consume: 1 msgs
[2019-03-26 17:48:20] 	 DEBUG: msg: {"message_id":"BEF6FD6A208E7FF47FE3849046FE7A58","message_body_md5":"C9CCFA0205405A33A17BF722C8BCD587","message_body":"{\"id\":66,\"ac\":\"QC\"}","body":"{\"id\":66,\"ac\":\"QC\"}","receipt_handle":"8-4zu9rw2Jkz4Vz8zl1z0z8NZzcV1V3NFMbaF","next_visible_time":"1553594008784","enqueue_time":"1553593647870","first_dequeue_time":"1553593708784","dequeue_count":"1","priority":"8"}
[2019-03-26 17:48:25] 	 DEBUG: sleep 2s
[2019-03-26 17:48:29] 	 DEBUG: reset sleep
[2019-03-26 17:48:29] 	 DEBUG: reconnect db
[2019-03-26 17:48:29] 	 DEBUG: mq_consume: 3 msgs
[2019-03-26 17:48:29] 	 DEBUG: msg: {"message_id":"BEF6FD6A208E7FF46B7A832C69A6042F","message_body_md5":"7CE65AEFD11BC82C5957A9255527E060","message_body":"{\"id\":63,\"ac\":\"QC\"}","body":"{\"id\":63,\"ac\":\"QC\"}","receipt_handle":"8-2zu9rw59Ez4Vz1zl0z0z8NZzaRghoPd0tLy","next_visible_time":"1553594017831","enqueue_time":"1553570325926","first_dequeue_time":"1553593414708","dequeue_count":"2","priority":"8"}
[2019-03-26 17:48:29] 	 DEBUG: msg: {"message_id":"BEF6FD6A208E7FF47F8D84818D63B4F4","message_body_md5":"B767A7DD8BC88CBE4EB31E03A6103491","message_body":"{\"id\":65,\"ac\":\"QC\"}","body":"{\"id\":65,\"ac\":\"QC\"}","receipt_handle":"8-2zu9rw59Ez4Vz1zl0z1z8NZzcSXEAyFBQ73","next_visible_time":"1553594017831","enqueue_time":"1553592682852","first_dequeue_time":"1553593414708","dequeue_count":"2","priority":"8"}
[2019-03-26 17:48:29] 	 DEBUG: msg: {"message_id":"BEF6FD6A208E7FF47FB88481E0812AC5","message_body_md5":"B767A7DD8BC88CBE4EB31E03A6103491","message_body":"{\"id\":65,\"ac\":\"QC\"}","body":"{\"id\":65,\"ac\":\"QC\"}","receipt_handle":"8-2zu9rw59Ez4Vz1zl0z2z8NZzcTZMOBn3sO8","next_visible_time":"1553594017831","enqueue_time":"1553592704129","first_dequeue_time":"1553593414708","dequeue_count":"2","priority":"8"}
[2019-03-26 17:48:30] 	 DEBUG: reset sleep
[2019-03-26 17:48:30] 	 DEBUG: mq_consume: 1 msgs
[2019-03-26 17:48:30] 	 DEBUG: msg: {"message_id":"BEF6FD6A208E7FF47FC184835C5F2124","message_body_md5":"B767A7DD8BC88CBE4EB31E03A6103491","message_body":"{\"id\":65,\"ac\":\"QC\"}","body":"{\"id\":65,\"ac\":\"QC\"}","receipt_handle":"8-3zu9rw5s9z4Vz9zl1z0z8NZzcUcZT4d9nD4","next_visible_time":"1553594018960","enqueue_time":"1553592801375","first_dequeue_time":"1553593415266","dequeue_count":"2","priority":"8"}
[2019-03-26 17:48:32] 	 DEBUG: reset sleep
[2019-03-26 17:48:32] 	 DEBUG: mq_consume: 2 msgs
[2019-03-26 17:48:32] 	 DEBUG: msg: {"message_id":"BEF6FD6A208E7FF47F84847AD42B0117","message_body_md5":"79B45A80A6F5BCC018B84796D04D12CC","message_body":"{\"id\":64,\"ac\":\"QC\"}","body":"{\"id\":64,\"ac\":\"QC\"}","receipt_handle":"8-0zu9rw5Vjz4Vz7zl2z0z8NZzcSKquFbacIK","next_visible_time":"1553594020678","enqueue_time":"1553592242219","first_dequeue_time":"1553593416269","dequeue_count":"2","priority":"8"}
[2019-03-26 17:48:32] 	 DEBUG: msg: {"message_id":"BEF6FD6A208E7FF4511E847FA33DC73A","message_body_md5":"B767A7DD8BC88CBE4EB31E03A6103491","message_body":"{\"id\":65,\"ac\":\"QC\"}","body":"{\"id\":65,\"ac\":\"QC\"}","receipt_handle":"8-0zu9rw5Vjz4Vz7zl2z1z8NZz8bQvw3IQSRQ","next_visible_time":"1553594020678","enqueue_time":"1553592557373","first_dequeue_time":"1553593416269","dequeue_count":"2","priority":"8"}
[2019-03-26 17:48:37] 	 DEBUG: sleep 2s
[2019-03-26 17:48:44] 	 DEBUG: sleep 4s
[2019-03-26 17:48:54] 	 DEBUG: sleep 8s
[2019-03-26 17:49:04] 	 DEBUG: daemon start...
[2019-03-26 17:49:09] 	 DEBUG: sleep 2s
[2019-03-26 17:49:16] 	 DEBUG: sleep 4s
[2019-03-26 17:49:26] 	 DEBUG: sleep 8s
[2019-03-26 17:49:39] 	 DEBUG: sleep 16s
[2019-03-26 17:50:00] 	 DEBUG: sleep 32s
[2019-03-26 17:50:38] 	 DEBUG: sleep 64s
[2019-03-26 17:51:47] 	 DEBUG: sleep 128s
[2019-03-26 17:52:28] 	 DEBUG: daemon start...
[2019-03-26 17:52:34] 	 DEBUG: sleep 2s
[2019-03-26 17:52:41] 	 DEBUG: sleep 4s
[2019-03-26 17:52:50] 	 DEBUG: sleep 8s
[2019-03-26 17:53:00] 	 DEBUG: reset sleep
[2019-03-26 17:53:00] 	 DEBUG: reconnect db
[2019-03-26 17:53:00] 	 DEBUG: mq_consume: 1 msgs
[2019-03-26 17:53:00] 	 DEBUG: msg: {"message_id":"BEF6FD6A208E7FF47FC28495624646E1","message_body_md5":"2E076E68D6429E3AA8BEED6C5BF3B118","message_body":"{\"id\":67,\"ac\":\"QC\"}","body":"{\"id\":67,\"ac\":\"QC\"}","receipt_handle":"8-2zu9rxh33z4Vz4zl2z0z8NZzcUessWywEYM","next_visible_time":"1553594289062","enqueue_time":"1553593982534","first_dequeue_time":"1553593989062","dequeue_count":"1","priority":"8"}
[2019-03-26 17:53:05] 	 DEBUG: sleep 2s
[2019-03-26 17:53:13] 	 DEBUG: sleep 4s
[2019-03-26 17:53:22] 	 DEBUG: sleep 8s
[2019-03-26 17:53:30] 	 DEBUG: reset sleep
